title_text,title_url,green_line,doc_url,abstract
Controle estatal da informação na Internet: os limites definidos pelo debate democrático brasileiro entre a segurança pública e garantias individuais …,https://attena.ufpe.br/handle/123456789/3752,"<div class=""gs_a"">MAOA CAMARA - 2010 - attena.ufpe.br</div>",https://attena.ufpe.br/bitstream/123456789/3752/1/arquivo352_1.pdf,"… correspondências simples de e-mail, passando por comunicações instantâneas em chats e MSNs,
até maneiras mais complexas de … delicado do processo de consolidação da democracia da
comunicação … O recente debate ocorrido no Congresso Nacional é dividido em duas … 
"
A construção de um discurso identitário LGBT por meio de canais de humor gay do YouTube,https://repositorio.ufrn.br/jspui/handle/123456789/25046,"<div class=""gs_a"">ACL Carvalho - 2017 - repositorio.ufrn.br</div>",https://repositorio.ufrn.br/jspui/bitstream/123456789/25046/1/AdrianoCesarLimaDeCarvalho_TESE.pdf,"… Os dias que seguem não só viram emergir, no caleidoscópio dos noticiários, o debate … gay do
YouTube), podemos asseverar que neles se precebe uma construção identitária … Para ser
bem-sucedida, uma genealogia política das ontologias dos gêneros deverá desconstruir a … 
"
[PDF][PDF] “APRENDI NO YOUTUBE!”: INVESTIGAÇÃO SOBRE ESTUDAR MATEMÁTICA COM VIDEOAULAS,https://www.researchgate.net/profile/Andrea_Thees/publication/338038770_APRENDI_NO_YOUTUBE_INVESTIGACAO_SOBRE_ESTUDAR_MATEMATICA_COM_VIDEOAULAS_I_learned_on_YouTube_research_on_studying_mathematics_with_videolessons/links/5dfb6518299bf10bc366d487/APRENDI-NO-YOUTUBE-INVESTIGACAO-SOBRE-ESTUDAR-MATEMATICA-COM-VIDEOAULAS-I-learned-on-YouTube-research-on-studying-mathematics-with-videolessons.pdf,"<div class=""gs_a"">AT MESSER - researchgate.net</div>",https://www.researchgate.net/profile/Andrea_Thees/publication/338038770_APRENDI_NO_YOUTUBE_INVESTIGACAO_SOBRE_ESTUDAR_MATEMATICA_COM_VIDEOAULAS_I_learned_on_YouTube_research_on_studying_mathematics_with_videolessons/links/5dfb6518299bf10bc366d487/APRENDI-NO-YOUTUBE-INVESTIGACAO-SOBRE-ESTUDAR-MATEMATICA-COM-VIDEOAULAS-I-learned-on-YouTube-research-on-studying-mathematics-with-videolessons.pdf,"Page 1. UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO CENTRO DE
CIÊNCIAS HUMANAS E SOCIAIS … 174 Quadro 17: Informações de videoaulas disponíveis
no YouTube ..... 202 … TIC – Tecnologias de Informação e Comunicação … 
"
… do direito à privacidade e do direito de liberdade de expressão: um estudo do processo na ação inibitória interposta por Daniela Cicarelli contra a empresa YouTube,http://repositorio.unesc.net/handle/1/383,"<div class=""gs_a"">EP Silva - 2012 - repositorio.unesc.net</div>",http://repositorio.unesc.net/bitstream/1/383/1/Edson%20Parol%20da%20Silva.pdf,"… Lemos Cicarelli e Renato Alfiero Malzoni Filho, em face de YouTube, Globo.com e … devido, em
grande parte, por seu domínio da linguagem, comunicação e razão. (Política, 2007, p. 114). Page
12 … obra de Direito Constitucional, a Carta Política de 1988 optou por não inserir a … 
"
Desenvolvimento da competência de comunicação oral nas aulas de língua: didatização do debate a Português Língua Materna (12º ano) e da entrevista a Espanhol …,https://eg.uc.pt/handle/10316/35806,"<div class=""gs_a"">IMS Machado - 2013 - eg.uc.pt</div>",https://eg.uc.pt/bitstream/10316/35806/1/Desenvolvimento%20da%20competencia%20de%20comunicacao%20oral.pdf,"… materializadas nos géneros discursivos orais debate, junto dos alunos da disciplina de …
procedimento de «Didatização da comunicação oral» em cada uma das turmas, através …
comunicações e da demografia a partir da construção da linha ferroviária em 1892. Hoje … 
"
[PDF][PDF] A influência dos media na participação política do público jovem em contexto Europeu,https://repositorio-aberto.up.pt/bitstream/10216/117058/2/300292.pdf,"<div class=""gs_a"">CPR da Costa - 2018 - repositorio-aberto.up.pt</div>",https://repositorio-aberto.up.pt/bitstream/10216/117058/2/300292.pdf,"… social. (…) Há uma significativa parcela de estudos que trazem o debate em … As relações entre
os média e a política ocupam definitivamente um lugar central nas pesquisas sobre os meios
de comunicação, com os estudos tanto no campo político quanto no espaço dos média … 
"
[HTML][HTML] A Internet nas Campanhas Políticas Eleitorais-O caso de Barack Obama nas presidenciais de 2008,https://journals.openedition.org/cp/251,"<div class=""gs_a"">C Oliveira - <b>Comunicação </b>Pública, 2011 - journals.openedition.org</div>",https://journals.openedition.org/cp/251,"… um ambiente inclusivo e integrador em torno da figura e da política do candidato … na corrida, via
SMS aos apoiantes, antes do anúncio público e da comunicação aos media … Vários vídeos de
voluntários e apoiantes foram publicados no YouTube e divulgados nas plataformas da … 
"
[PDF][PDF] O caráter multiplicador das mídias sociais e a natureza potencializadora do engajamento político na era digital,http://www.uel.br/grupo-pesquisa/gepal/v9_phablo_e_rafael_GII.pdf,"<div class=""gs_a"">P Gouvêa, <a href=""/citations?user=T4_bMj4AAAAJ&amp;hl=pt-BR&amp;oi=sra"">RPA Araújo</a> - uel.br</div>",http://www.uel.br/grupo-pesquisa/gepal/v9_phablo_e_rafael_GII.pdf,"… ou menos rigor, atribuído as tecnologias de compartilhamento de mensagens do Facebook e Twitter,
e os vídeos do Youtube, por exemplo … das pessoas e também para a política … comunicação que
evidenciam a enorme capacidade das mídias sociais de movimentar … 
"
"[PDF][PDF] “We, The Tweepple”–A reconfiguração do político e os ciberativismos como localismos globalizados via twitter: uma nota sobre os brasileiros.",http://geografias.net.br/papers/19_Jheison.pdf,"<div class=""gs_a"">J Holthausen - geografias.net.br</div>",http://geografias.net.br/papers/19_Jheison.pdf,"… traseiro, criou um jingle divertido e postou esse vídeo de ""agitprop"" no YouTube, obtendo milhões …
XXXIII Congresso Brasileiro de Ciências da Comunicação – Caxias do Sul, RS – 2 a 6 de … decisiva:
cultura política descentralizada, heterogênea e novas formas de ativismo.”34 … 
"
Infância negra e mídias digitais: uma análise de canais de YouTube realizados por meninas negras,https://repositorio.ufscar.br/handle/ufscar/10892,"<div class=""gs_a"">JN Santos - 2018 - repositorio.ufscar.br</div>",https://repositorio.ufscar.br/bitstream/handle/ufscar/10892/TESE%20FINAL%202019.pdf?sequence=1,"… crença na humanidade. Durante os últimos dias, discutíamos demais sobre política, racismo …
a comunicação nos diversos âmbitos. Entende-se, portanto, que na atualidade a Internet … em
canais de YouTube, a partir de quatro canais realizados por meninas entre sete e onze … 
"
[PDF][PDF] A infância e a publicidade em debate,http://pantheon.ufrj.br/bitstream/11422/1455/3/LLBFraga.pdf,"<div class=""gs_a"">LLB Fraga - Rio de Janeiro/RJ - pantheon.ufrj.br</div>",http://pantheon.ufrj.br/bitstream/11422/1455/3/LLBFraga.pdf,"… books, academic articles, laws and Internet publications on the topic were employed seeking
to foster relevant debate concerning the issues … de conhecimento, nas ideologias e na política …
A comunicação publicitária brasileira era direcionada ao público adulto até as décadas … 
"
Trans narrativas do self: uma análise a partir de diários virtuais de transição transexual no Youtube,https://attena.ufpe.br/handle/123456789/14073,"<div class=""gs_a"">EG Rojas - 2015 - attena.ufpe.br</div>",https://attena.ufpe.br/bitstream/123456789/14073/1/TESE%20Eveline%20Gama%20Rojas.pdf,"… Page 15. 13 que invade outras áreas e amplia o debate … do YouTube, sociologicamente
situadas no universo maior dos novos media, o foco se dirige … dos canais de comunicação
e do acesso à informação, é possível aceder à experiência dos … 
"
